PCA total explained variance =  0.47
             0         1         2         3         4
0     9.265994 -3.744013 -0.815717 -0.087647 -0.001505
1    -1.716136 -3.508862 -1.770373 -2.271322 -3.004632
2     0.527486  3.091472 -5.983496 -5.445912  1.883878
3    -5.298606  3.523515  0.160597  0.706200  0.532034
4     2.404573  0.558622 -0.014958 -1.204824 -2.303992
5    -3.350150 -2.407643  1.043065  2.259663 -1.534639
6     6.455021  1.578728  3.108193  0.923751 -0.756858
7     7.128471 -3.948643  0.018619  0.386412  0.873178
8     5.582725  3.102980 -2.539524 -1.841511 -1.145555
9    -4.250714 -2.666087 -4.196789  0.718847 -0.232322
10   -5.263221  1.560898 -0.780017  4.341960 -0.363866
11    0.461711 -1.305570  2.666586  0.173815  0.025489
12    2.671743  0.395534 -1.570716  0.329304 -1.816934
13   -3.755720 -2.121702 -4.880080 -0.612549  0.132061
14    0.684596 -2.567016 -1.362696  0.096924 -1.545822
15    0.096683 -5.827863  1.745095 -2.150022  6.245473
16   -4.364355 -4.696821  0.978348  0.111695  5.427653
17    4.111617  4.343302 -0.009657 -1.103256 -1.868865
18   -1.451936 -4.541499 -3.695515 -0.756474 -0.696010
19   -0.114974 -1.494298 -0.603446  0.258630  0.748665
20   -2.780526  1.525664  0.317179  2.130867 -0.796413
21    3.335316 -3.796870 -0.859984  0.905286  2.682764
22   -1.864929 -2.175430 -3.909101  0.038066 -0.826117
23    2.418140  0.071533  2.160282  2.150574 -1.355599
24   -1.049704 -0.325911  2.393116  3.098848 -0.555128
25   -0.191129 -1.459166 -0.603760  2.026297 -0.901386
26    3.216559  3.842548  5.012626 -0.978606  3.514481
27   -0.579089 -1.399311  0.463221  0.434584 -2.935511
28   -4.319271  3.288147  0.728754  2.132016 -0.178499
29    2.563854 -3.497204  0.684378 -0.417108 -0.702429
30   -1.635536  3.110730  0.339058  1.237278 -0.558158
31   -0.791529  0.232954 -1.189793  2.485874  1.204554
32    4.743764 -1.259899  1.369357 -1.362026 -0.231406
33    2.694943  7.740579  2.377849  1.529214  1.821810
34   -6.169172 -0.543819  3.976324  1.089282 -1.994762
35   -1.632099 -0.322064 -5.675801 -1.596909  1.086535
36   -0.297170 -1.915053 -1.987754  2.258242  1.902113
37    1.800077 -0.964817 -2.502418  2.083332  0.959691
38   -2.948527 -1.572299  3.504663  3.887508  2.588939
39   -0.417105 -2.622195 -3.241859  1.330010 -0.690970
40    5.962900 -5.131976  3.761877 -4.474038  6.770073
41    0.797860  2.373917 -2.125333 -3.493741 -1.682012
42   -2.778230 -1.176208 -0.346805 -0.468829 -0.306879
43    4.696986  3.645324 -3.887437 -5.714021  1.613565
44   -1.864250  2.911681 -2.981044  2.664120 -3.023080
45    3.572919  2.571120 -2.576663 -1.795545  1.356418
46   -4.538704 -4.095081  2.328206 -0.111369  1.845896
47    6.803896 -4.009010 -1.532064 -1.946416 -0.455900
48   -8.170060  3.622450 -0.333409  2.890403  0.318162
49   -3.457087  4.018653  1.448499  0.465804  2.426137
50   -4.874685  0.750853 -2.588923  1.394953 -0.554458
51   -5.432792  5.041676  0.568524 -0.580319  2.574787
52   -2.048727  2.677771  1.669741 -0.644300  2.902137
53    3.802140 -3.202188 -2.864404 -0.456618 -3.205512
54    1.616144 -0.737445 -0.999677 -1.830457  4.139547
55   -6.220936 -1.032155  1.356130  0.012334 -1.245148
56   -3.384791  2.761225 -0.194285 -3.994113  0.367596
57   -2.412598  3.259323  2.408891  1.571260 -0.180771
58   -2.190840 -1.049099 -5.109800  2.970143 -0.867177
59    4.190029  3.336044 -2.876503 -1.265528 -0.286098
60    5.673346  0.305480 -2.381035 -1.658394 -1.732038
61    0.770366  4.831668 -0.060259 -3.433190 -2.446028
62   -4.637498  2.647202  2.998162  0.102108  0.748442
63    4.815379  0.158396  2.465858  2.559074 -0.101072
64    2.166264 -5.080767 -0.328930  1.422007 -0.022893
65    0.742486  0.907962  1.743461  1.628746 -1.955583
66   -4.785773  2.951903  0.339031 -1.224404 -1.514718
67    5.306485 -4.279550 -2.397161 -0.293695 -2.200342
68   -1.198803  1.865939 -3.840626 -3.203338 -2.264132
69    3.319484  3.172144  1.522183  2.051624 -0.690974
70    4.553946 -0.275128  0.586739  0.753858 -0.948847
71   -2.942155  4.068871 -4.362854  0.589223  0.122747
72   -0.215018  3.010432  1.537030  2.763526  1.304260
73   -4.326758  2.468692  0.042880  2.877681 -2.919883
74    0.260711  1.848419  3.960525  2.649205  1.872146
75   -3.576436  0.017646 -2.743523  4.137895 -0.493839
76   -0.580098  0.753743 -2.547670  1.532750 -3.310757
77   -6.725285 -1.348326 -2.127021 -1.895454  2.915596
78   -0.322114 -0.125382 -4.535460 -2.027516  0.192792
79   -0.552951  5.622404 -1.726641  2.404504  0.048948
80    0.016484  6.850123 -3.212358  0.968661  3.104306
81   -5.788995  2.599451  0.091414 -0.687595  1.793285
82    1.180195 -1.564439 -1.473847 -2.329674 -1.989730
83    7.007276 -2.303808  0.492758 -1.876940 -0.903283
84    7.124455  1.116817 -1.371765 -1.190074  0.503507
85    4.243376 -1.715539  1.574125 -2.091938  0.565320
86   -3.046726  1.116059  1.457116 -2.243894  2.053936
87   -1.344973  1.169494  0.029067 -0.159260  2.595252
88    3.550599 -3.754547  1.152290 -1.685733 -2.718507
89   -2.127404 -0.721863 -0.722561  7.500492  0.622786
90    0.281080 -1.667902 -1.486420  0.034219 -2.268108
91    2.264359  4.872561 -2.547503  3.386767  1.376693
92    4.680239 -5.534741 -3.776369  0.568292 -1.331264
93    4.228705 -1.165563  3.348173 -1.625103  1.127202
94    1.567439 -3.647926  4.281593  1.047388  1.331487
95   -3.789073  1.377412 -2.447029  0.960471 -2.204391
96   -4.461970 -0.428269  3.493377  2.158596  0.694866
97    3.509738  4.236631  1.096573  2.887798  1.592013
98    7.340434 -2.047211 -1.953894  0.953192  0.238492
99    2.617638  0.194730 -3.347106  1.287150  0.029833
100  -3.822035  1.359378  0.694138  0.934257 -4.066016
101   0.734081  1.911045 -4.166903  4.119210  0.630334
102  -4.175623  3.946296 -1.764990  3.028994  0.372755
103  -3.306988 -7.436779 -0.504992  0.607061  0.920864
104   1.954282 -0.605044  0.271409  3.045942  0.193724
105  -3.410563  0.380340  1.855865  0.453942  2.539814
106   2.383700 -2.176034  0.138170  0.797759 -1.196597
107  -3.453708  3.072355  2.245827  0.108860  0.442778
108  -6.306818 -2.586658  2.305207 -1.699438 -3.320336
109   9.113281 -1.329783 -1.446052 -0.041247  1.690071
110  -4.548572  0.548431  0.034854  0.312299  0.312313
111  -2.798081 -2.323382  2.739683 -0.191191 -1.945147
112   7.582435  2.812055  3.127806  2.531617 -0.904319
113   2.710106  5.971127  1.958575  0.535078  1.225526
114  -1.244620 -0.654573 -1.972124  1.072762 -2.647372
115  -1.149991  0.778627 -2.249209  0.668228  2.834256
116   2.305565  1.818765  2.888743 -4.572951  5.672544
117  -2.189277 -5.123904 -5.242378 -0.021311  0.396769
118   1.386784 -0.736284 -1.502701  0.444772 -5.047025
119   4.791785 -3.020828  0.169810  1.675062  0.255875
120   7.579283 -2.162351 -0.624781  0.216794  2.243298
121   0.244356  3.206280  5.981580 -5.091344  1.155108
122  -2.758119  1.588979 -1.282545  1.549879 -0.823887
123  -1.866145 -2.714750 -4.560005 -2.174350 -2.321934
124   0.629980  0.975554  5.736996 -1.112768  3.539228
125   0.133847  5.246584  1.445834  0.258401 -0.025210
126   3.428015 -0.747524 -2.688267  2.139355 -0.542158
127  -2.721185  2.735633 -1.189458 -1.120176  3.869079
128   5.188223  0.302939  1.579225  0.477812  0.886138
129   8.735078 -0.641372 -1.599048  0.753906  0.270559
130  -4.244237  1.946046  3.095900  1.763671  0.544693
131   2.936935  4.190032 -2.344524 -1.629287 -0.455182
132  -2.266470 -3.199022 -0.669732  0.946998 -0.048756
133   3.081041 -3.853393 -0.131985  0.985347 -1.293698
134   4.015856  3.307201  1.863370 -0.410421  1.021619
135  -1.219356  1.453924  0.412027 -0.662643  4.026694
136   2.625497 -1.101036 -0.337416  1.320896 -1.508319
137   4.299347  6.900771  1.355126 -1.055385 -0.215402
138  -0.571125  3.651008  0.688509  5.520847 -0.799166
139  -5.302821 -2.314778 -1.021395 -3.062539  1.994366
140   3.162119 -1.463917 -5.096495  0.053276  0.556116
141   6.672491 -0.098866 -2.911123  0.460670  1.528726
142   3.926482  2.162626  3.669315  2.861437 -2.011786
143  -5.093339  0.243343  0.317066 -2.679352  2.738759
144   3.021482  1.743620 -2.303200 -1.775676 -0.394322
145   0.112129  1.723033  4.542160 -1.792853  1.394016
146   3.493445 -0.482529 -0.621006  6.482975 -0.686586
147   4.820275  0.678166  2.420981 -0.880701 -0.436750
148   1.430629 -1.119988 -2.450300  1.757003  0.798541
149   2.094646  0.316544  1.846643  0.109353 -1.467602
150   2.070335  4.879560  2.821734 -1.532312 -2.968794
151   4.103351 -0.419869 -2.015489  0.435772 -0.100253
152   0.233002 -2.557055  2.655927  2.500006 -2.621012
153  -6.084599 -0.178304 -3.694982 -4.343880  1.717648
154  -0.138419 -1.518498 -1.163669  1.082410 -0.442741
155  -2.351463 -0.204231 -2.463649  4.918883  0.461692
156   5.730742  2.686410  3.647953  2.026182 -1.622814
157   7.951114  0.371193 -1.088370  2.510531  1.422180
158  -4.040084  2.155246 -0.934354 -1.575945 -0.293276
159   1.519358 -0.407639 -1.998987 -1.131329 -1.571238
160   6.124747  1.148284 -2.809132 -0.288169  0.785635
161  -5.449626  1.029808 -0.067956  4.801585 -2.656940
162   4.187771  3.621442 -0.779203 -0.291436  1.812990
163   2.781789  3.723897  3.341805  3.609337  1.923392
164   2.368596 -4.688603 -0.205098  1.107824 -0.786476
165  -1.302599  4.151100  1.731093  2.608669 -1.763424
166  -1.910455 -0.549899 -0.326749  1.763528  2.415137
167  -0.552764  4.479100 -3.734449  0.257931 -1.289949
168  -0.761448 -6.481858  4.941125  3.342338 -0.516741
169   6.602510  0.698380 -0.327970  2.853188 -0.012753
170  -4.784931 -1.885843 -1.770538 -1.639424  3.186618
171  -2.615349  1.926308 -0.514898  2.770955 -0.764862
172  -3.840633  1.982978  2.390280  0.768864  1.448143
173   9.705541 -2.184228 -1.757017  0.636631  1.766672
174   0.502848 -7.368791  1.336966 -0.398595  1.788057
175  -1.034117 -2.777444 -0.147551  1.649720  1.105940
176  -3.832191  3.759166 -1.987541  0.429433 -1.660475
177   2.071792 -0.552746 -0.557917 -0.781877  0.428226
178   0.391728 -0.994660 -1.461184 -0.003981  0.975332
179  -2.217425  0.890780  3.658029  2.051817 -1.254624
180   3.327791 -0.850471  0.136292 -0.933810  0.287273
181   0.209799  1.249999  5.332084 -1.635497  6.698922
182  -8.100616  0.791483 -0.044975 -3.426790  2.226683
183   7.206330  1.606047  3.394643  2.164949  1.967381
184  -4.434564  2.795666 -2.326186  0.748066  0.916313
185  -4.974238  4.356829 -2.159511  1.664212  3.657210
186   3.593676 -0.456843  1.042200 -3.267048 -1.180177
187  -0.508587 -2.306126  3.227999  1.600127 -1.464747
188  -3.531919 -3.131395  3.109745  2.091796  5.138757
189  -2.927775 -2.023461 -0.381204 -1.140067 -4.552980
190   1.221898  0.277106  4.194431 -0.501747 -3.830095
191  -0.207370  3.287203  1.447454 -0.089965 -1.470284
192   3.029997 -1.150800 -0.231760 -1.821429 -1.045975
193  -6.103073 -3.201636  3.673521 -2.043190  2.864436
194  -3.565631  0.456890  1.650180  1.200489 -0.157796
195   3.379267  2.247182  7.089217  0.676647 -1.227196
196  -5.876999 -2.150389  0.875905 -1.216179 -0.319832
197   2.641186 -0.136014  0.766709 -0.813059 -2.020826
198   4.906918  0.876025  0.755763 -2.276755 -3.495232
199  -1.732772 -4.081274  1.914195  5.089721  0.477253
200   0.467556  0.355849 -0.878650  0.184252 -0.689998
201  -9.336687 -1.335488  2.208072 -1.077173 -2.295419
202  -1.526418  2.747676  2.824525 -0.905549 -1.944133
203   4.949996  6.623558 -1.996951 -1.426438  0.084279
204  -2.351861 -4.468589 -2.088618 -0.273380 -1.305334
205   5.254050 -3.543254 -0.435656  1.718964  0.403617
206  -3.607060 -1.698193 -1.982722 -1.952755 -1.313175
207  -2.011458 -1.750439  3.181011 -3.272860 -0.526033
208   6.064409  1.087797  0.438688 -1.065836 -3.041261
209  -1.907184 -8.717883 -0.314961 -1.867871  2.067281
210  -4.736542 -4.366240  1.685436 -1.555011  2.682878
211   0.176511  1.783458  1.403410  2.435235 -0.392921
212  -3.520221 -0.745631 -1.799241 -1.028437  4.512599
213  -2.154254 -0.824689  0.561103 -0.296567 -2.615529
214   3.294188  2.392785 -1.050787 -2.963099 -2.364794
215  -2.843791 -0.552495  0.148036  0.508660 -6.206501
216   0.292234  0.912722 -5.657432  0.130378  0.837957
217   3.660211  2.242786 -1.500459  1.688889  2.643196
218   3.250317 -0.734480 -3.110234 -0.422743 -0.852336
219  -5.286675 -1.491804  2.295098 -4.149842 -2.720534
220   1.281164  9.593520  0.657322 -0.771949  1.874464
221   3.300519  3.982078 -1.315743 -0.774117  0.137651
222   1.061606  0.185516  4.414197 -0.996239  2.609958
223   3.205266  0.836250  0.241025 -1.169184  0.322474
224  -2.411380  0.100134 -0.927251  1.392886 -1.461265
225  -1.844923 -0.678756  0.412876 -3.803867 -2.516693
226   0.185513  2.626762 -2.109114  2.375753  0.611361
227   2.540400 -0.352677  5.144628  0.275046  4.952747
228  -4.357053  0.906428  0.093825  1.933825 -1.394864
229  -4.908687  0.380981  1.952062  2.090138  2.143168
230  -3.600158 -1.959898 -0.190297  1.079365 -1.609221
231  -7.519905  1.907040 -0.091512 -1.156465  3.249202
232  -6.322006  1.210181 -1.670057 -1.147548 -0.139754
233  -3.949063  4.572741 -0.350875 -2.563703 -4.260851
